cust,st,g,a,salesrev
Nathanael Gibbs,TX,Male,55,$53
Nathanael Huff,FL,Male,54,$613
Nathanael Phelps,NJ,Male,36,$434
Nathanael Simmons,NH,Male,67,$719
Nathanial Day,CA,Male,60,$113
Nathaniel Bowen,GA,Male,35,$60
Nathaniel Dickson,CO,Male,65,$150
Nathaniel Hancock,TN,Male,69,$447
Nathaniel Weaver,NH,Male,33,$198
Neal Campbell,GA,Male,38,$239
Neal Cardenas,TX,Male,47,$217
Neal Craig,PA,Male,60,$185
Neal Gray,NY,Male,25,$596
Ned Sosa,MA,Male,58,$140
Neil Miller,NH,Male,63,$434
Nelda Bonner,PA,Female,64,$40
Nelda Richards,CT,Female,69,$235
Nell Chapman,CA,Female,39,$203
Nell Dejesus,CA,Female,34,$26
Nell Stone,FL,Female,98,$120
Nellie Rollins,VA,Female,62,$411
Nestor Riley,VA,Male,42,$120
Nettie Chen,NH,Female,25,$260
Neva Ellis,PA,Female,45,$209
Neva Middleton,CO,Female,66,$104
Neva Navarro,TX,Female,46,$120
Neville Paul,TX,Male,52,$109
Neville Snider,TX,Male,33,$390
Newton Fox,NC,Male,46,$275
Newton Klein,MA,Male,61,$1190
Newton McKinney,VA,Male,59,$120
Newton Morris,LA,Male,22,$60
Newton Norman,VA,Male,66,$630
Newton Silva,NY,Male,55,$210
Newton Tyson,AZ,Male,75,$369
Newton Webb,TX,Male,43,$120
Nicholas Atkins,NH,Male,33,$270
Nichole Bonner,SC,Female,48,$165
Nichole Coleman,FL,Female,64,$585
Nick Christensen,FL,Male,92,$1140
Nick Gay,AL,Male,56,$251
Nickolas Clay,CA,Male,35,$52
Nickolas Hebert,CO,Male,32,$469
Nicole Marks,LA,Female,24,$120
Nicole McClain,TX,Female,53,$39
Nigel McDaniel,NC,Male,44,$60
Nikki Valdez,RI,Female,40,$1019
Nita Clay,NJ,Female,52,$359
Nita Copeland,VA,Female,61,$385
Nita Hampton,FL,Female,89,$139
Noe Hays,PA,Male,24,$110
Noel McFarland,FL,Male,95,$170
Noel Rush,NC,Male,67,$289
Noelle Eaton,CO,Female,46,$100
Noelle Hale,NJ,Female,43,$386
Noelle Stanton,TX,Female,34,$91
Noemi Head,TN,Female,70,$133
Noemi Merritt,TN,Female,72,$374
Noemi Nolan,TX,Female,77,$43
Nola Lowe,NJ,Female,47,$643
Norberto Dixon,FL,Male,78,$170
Norberto Hawkins,OR,Male,53,$366
Noreen Ellison,GA,Female,60,$65
Noreen Miller,WA,Female,63,$13
Noreen Walsh,NM,Female,78,$57
Norman Bernard,VA,Male,23,$40
Norman Russell,WA,Male,23,$60
Normand Murphy,WA,Male,43,$225
Norris Carroll,OH,Male,31,$60
Norris McMillan,VA,Male,35,$150
Norris Woodard,PA,Male,44,$132
Numbers White,GA,Male,74,$80
Odell Parks,FL,Male,78,$389
Odessa Sims,NC,Female,69,$1000
Odessa Terry,NM,Female,59,$232
Odis Knight,UT,Male,63,$199
Odis Mejia,TN,Male,36,$242
Ofelia Chase,VA,Female,28,$299
Olen Becker,NC,Male,66,$394
Olen McClain,NM,Male,55,$193
Olga Sharp,NM,Female,78,$196
Olin Blackburn,FL,Male,61,$559
Olin England,CO,Male,32,$112
Olin England,TX,Male,64,$332
Olin Gilbert,NC,Male,72,$130
Olive Baxter,FL,Female,49,$168
Olive Fowler,CA,Female,73,$87
Olive Parks,LA,Female,59,$719
Olive Reynolds,PA,Female,77,$1100
Olive Rodgers,TN,Female,76,$99
Oliver May,GA,Male,21,$280
Oliver Rowe,VA,Male,38,$232
Olivia Beck,TX,Female,78,$855
Ollie Hess,GA,Male,49,$335
Ollie Lloyd,AL,Female,50,$120
Ollie Rowe,CA,Male,53,$40
Omer Castro,NY,Male,34,$249
Omer Frost,AL,Male,44,$52
Opal Burnett,NY,Female,60,$133
Opal Dunlap,CA,Female,72,$160
Ophelia Franklin,NC,Female,32,$630
Ora Warren,SC,Female,29,$727
Oren Contreras,AL,Male,64,$1060
Orval Paul,FL,Male,92,$329
Oscar Hendricks,FL,Male,69,$90
Osvaldo Farley,PA,Male,62,$758
Oswaldo Grant,NC,Male,67,$779
Oswaldo Shepard,NY,Male,56,$150
Otha Benson,GA,Male,39,$609
Otis Carroll,GA,Male,36,$739
Otis Hess,SC,Male,63,$145
Otis Koch,PA,Male,74,$490
Otto Hale,NY,Male,45,$230
Otto Heath,PA,Male,23,$75
Otto Lang,PA,Male,59,$479
Owen Levy,FL,Male,52,$148
Pablo Barry,CT,Male,73,$45
Pablo Jefferson,FL,Male,63,$112
Pablo Whitley,FL,Male,82,$1171
Paige Irwin,NC,Female,77,$140
Paige Sanchez,NY,Female,53,$136
Paige Whitney,TX,Female,53,$100
Palmer Gentry,TX,Male,34,$630
Pam Butler,FL,Female,94,$160
Pam Logan,FL,Female,60,$104
Pam Lowe,NH,Female,57,$177
Pamela Middleton,NC,Female,43,$277
Pansy Battle,NM,Female,33,$123
Pansy Bonner,OH,Female,58,$939
Pansy McCoy,CA,Female,36,$217
Paris Cabrera,AZ,Male,55,$90
Parker Phillips,AL,Male,71,$178
Parker Valencia,TX,Male,39,$340
Pasquale Ellison,SC,Male,69,$140
Pasquale Henry,NC,Male,50,$25
Pasquale Hoover,WA,Male,56,$359
Pasquale Patterson,GA,Male,73,$280
Pat Crosby,GA,Male,51,$198
Pat Henry,AL,Female,57,$367
Pat Morin,TX,Male,37,$500
Pat Phillips,TX,Male,41,$234
Patrica Dickerson,GA,Female,31,$560
Patrica Warren,TX,Female,43,$275
Patrice Combs,CT,Female,35,$225
Patrice Dunlap,TX,Female,71,$501
Patricia Bolton,TX,Female,56,$346
Patricia Christensen,NY,Female,48,$65
Patricia Hernandez,LA,Male,23,$90
Patricia Sosa,CA,Male,63,$229
Patrick OBrien,FL,Male,87,$78
Patrick Strong,TX,Male,54,$429
Patsy Morin,FL,Female,64,$100
Patti Fischer,VA,Female,60,$649
Patty Cotton,NC,Female,43,$185
Patty Hogan,GA,Female,28,$174
Patty McCall,TX,Female,83,$964
Patty Short,PA,Female,28,$28
Patty Suarez,FL,Female,46,$394
Patty Wilkerson,MA,Female,71,$331
Patty Woodward,FL,Female,86,$164
Paul Bryant,AZ,Male,39,$485
Paul Duran,NJ,Male,34,$100
Paul Franco,FL,Male,51,$260
Paul Petty,GA,Male,70,$91
Paul Stout,GA,Male,70,$398
Paula Lang,TX,Female,42,$77
Paula Lopez,TX,Female,72,$359
Paula Shepard,NY,Female,30,$39
Paula Vazquez,PA,Female,75,$210
Paulette Fitzpatrick,TX,Female,59,$78
Paulette Glenn,AZ,Female,37,$449
Pauline Bridges,FL,Female,84,$129
Pauline Potter,TX,Female,42,$120
Pearl Hoffman,NY,Female,70,$311
Pearl Shannon,VA,Female,61,$630
Pearlie Bradford,FL,Female,86,$52
Pedro Drake,TX,Male,46,$91
Pedro Goodman,VA,Male,69,$739
Pedro McCarthy,GA,Male,31,$224
Peggy Daugherty,CT,Female,67,$479
Peggy Horton,FL,Female,62,$227
Penelope Shields,FL,Female,98,$260
Percy Jennings,FL,Male,79,$39
Percy Melendez,OH,Male,27,$900
Perry Beard,NC,Male,39,$676
Perry Booth,CO,Male,49,$279
Perry Parrish,AZ,Male,49,$469
Pete Carr,NJ,Male,47,$54
Pete McIntosh,AZ,Male,47,$360
Pete Stewart,FL,Male,43,$180
Petra Pierce,TX,Female,72,$445
Petra Robles,PA,Female,75,$284
Phil Hendricks,CT,Male,45,$28
Philip May,CA,Male,21,$125
Phillip Travis,NC,Male,63,$219
Phoebe Hunter,AL,Female,46,$362
Phoebe Ortega,FL,Female,47,$154
Phoebe Rush,FL,Female,77,$13
Phoebe Santos,TX,Female,50,$53
Phoebe Vincent,CA,Female,39,$60
Phyllis Potter,NJ,Female,43,$252
Pierre Foley,CO,Male,55,$400
Polly Carson,CT,Female,54,$46
Polly Rich,LA,Female,71,$117
Polly Valenzuela,GA,Female,32,$240
Polly Watkins,FL,Female,48,$120
Porfirio Fields,GA,Male,22,$197
Porfirio Ford,NH,Male,67,$479
Porfirio Powers,CT,Male,27,$125
Porfirio Sargent,TX,Male,42,$40
Porter Marks,GA,Male,70,$140
Porter May,NC,Male,55,$379
Porter Randall,CA,Male,56,$289
Preston Weiss,NY,Male,53,$270
Preston Wilkinson,TX,Male,58,$252
Prince Alford,TN,Male,21,$22
Prince Santos,TX,Male,62,$75
Priscilla Marshall,CA,Female,24,$747
Queen James,CT,Female,75,$269
Queen Wade,CT,Female,37,$104
Quentin Nelson,FL,Male,93,$160
Quincy Fry,TX,Male,32,$669
Quincy Petersen,FL,Male,56,$1270
Quincy Wallace,AL,Male,43,$581
Quintin Barrett,TN,Male,27,$180
Quintin Hoover,NH,Male,74,$1112
Quintin Sweet,FL,Male,62,$130
Rachael Cruz,CA,Female,60,$249
Rachael Glover,TN,Female,44,$154
Rachael Greene,NC,Female,41,$449
Rachel Holloway,TX,Female,62,$835
Rachel OBrien,CO,Female,51,$400
Rachel Stephenson,TX,Female,34,$449
Rae Lindsay,FL,Female,61,$500
Rae Wade,CA,Female,68,$22
Raleigh McFadden,NM,Male,61,$366
Raleigh Vasquez,FL,Male,61,$117
Raleigh Weeks,LA,Male,29,$229
Ralph Glenn,PA,Male,67,$117
Ralph Goff,GA,Male,72,$340
Ralph Peck,NY,Male,37,$1239
Ramiro Dillon,NC,Male,57,$239
Ramiro Randolph,GA,Male,42,$513
Ramon Gates,NH,Male,56,$88
Ramona Hardy,NC,Female,46,$30
Ramona Hodge,MA,Female,28,$364
Ramona Sellers,NM,Female,39,$319
Ramona Stafford,TN,Female,54,$100
Ramona Thomas,FL,Female,95,$120
Randal Baldwin,CA,Male,27,$1322
Randal Moody,NC,Male,42,$701
Randal Odom,AZ,Male,37,$140
Randall Wallace,OH,Male,39,$52
Randall Woodward,VA,Male,34,$240
Randolph James,PA,Male,66,$307
Randy Huber,NJ,Male,46,$35
Raphael Hicks,PA,Male,72,$490
Raphael McKenzie,NJ,Male,44,$229
Raphael Ochoa,NJ,Male,55,$306
Raquel Craft,FL,Female,54,$135
Raquel Ellison,RI,Female,62,$100
Rashad Jarvis,VA,Male,30,$339
Raul Neal,TN,Male,74,$237
Raul Richard,CO,Male,72,$1168
Raul Valenzuela,NM,Male,43,$225
Ray Barr,CO,Male,25,$389
Raymon Burke,GA,Male,40,$262
Raymon Ortiz,TX,Male,72,$359
Raymond Gibbs,FL,Male,91,$500
Raymundo Delacruz,CA,Male,43,$319
Reba Bond,NC,Female,47,$260
Reba Melton,CA,Female,48,$401
Reba Morrow,PA,Female,28,$117
Rebecca Cameron,MA,Female,68,$409
Rebecca Delaney,NC,Female,56,$193
Reed Battle,OR,Male,62,$168
Reed Chavez,FL,Male,82,$900
Reed Gomez,MA,Male,51,$180
Regina Hanson,VA,Female,35,$1160
Reginald Blackburn,OH,Male,57,$126
Reginald Vaughn,LA,Male,38,$250
Reid Lamb,NJ,Male,39,$359
Reinaldo Brock,PA,Male,63,$384
Reinaldo Horn,NY,Male,52,$104
Reinaldo McIntyre,PA,Male,59,$44
Rena Conley,FL,Female,45,$259
Rena Mendez,NY,Female,72,$405
Renaldo Rowe,VA,Male,41,$343
Renato Cruz,NJ,Male,32,$290
Renato McCormick,CA,Male,69,$168
Rene Buck,FL,Female,69,$445
Rene Calderon,TN,Male,65,$93
Rene David,FL,Female,81,$269
Rene Gay,NY,Female,76,$459
Rene McCormick,OH,Male,29,$480
Renee Baird,CT,Female,61,$90
Renee McMillan,TX,Female,43,$350
Renee Wright,WA,Female,26,$329
Reva Hopkins,PA,Female,37,$10
Reva Vang,NY,Female,67,$505
Reva Wells,WA,Female,74,$120
Rex Santiago,TX,Male,47,$180
Rey Holloway,CO,Male,54,$26
Rey McIntosh,GA,Male,32,$606
Rey Perry,AZ,Male,78,$20
Reyes Crane,SC,Male,54,$80
Reyes Miles,CA,Male,35,$65
Reyna Burch,TX,Female,46,$101
Reynaldo Craig,WA,Male,61,$274
Reynaldo Ingram,OR,Male,64,$52
Reynaldo Jimenez,FL,Male,65,$1088
Reynaldo Roach,RI,Male,55,$60
Reynaldo Weaver,CO,Male,41,$371
Rhea Luna,CO,Female,42,$265
Rhea Mitchell,AZ,Female,61,$619
Rhett Lambert,CA,Male,49,$237
Rhett Simmons,FL,Male,44,$224
Rhonda Craig,FL,Female,69,$480
Rhonda Estrada,TX,Female,65,$515
Ricardo Everett,MA,Male,55,$125
Ricardo Keith,FL,Male,45,$80
Rich Woodward,NY,Male,22,$22
Richard Lowe,FL,Male,94,$519
Richie Chen,FL,Male,84,$52
Richie Wise,UT,Male,28,$281
Rick Richardson,AZ,Male,50,$669
Rickey Burton,CT,Male,72,$638
Rickie Riley,FL,Male,72,$349
Rico Flores,RI,Male,24,$293
Rigoberto Middleton,TX,Male,35,$744
Rigoberto Murray,FL,Male,46,$1160
Riley Rosario,FL,Male,93,$296
Rita Baldwin,NC,Female,28,$52
Rita Beck,CA,Female,69,$120
Rita Fischer,OH,Female,27,$481
Rita Woodward,GA,Female,54,$175
Rob Bolton,NY,Male,65,$57
Rob Eaton,AL,Male,47,$199
Rob Montgomery,PA,Male,24,$600
Robbie Benjamin,NJ,Female,59,$1200
Robbie Gordon,NJ,Female,46,$422
Robbie Watts,GA,Female,28,$78
Robby Hansen,NC,Male,32,$360
Robert Cain,TN,Female,42,$230
Robert Ferrell,GA,Male,54,$540
Robert McKay,NC,Male,61,$599
Robert McLaughlin,OR,Female,53,$75
Robert Puckett,OH,Male,54,$80
Roberta Owens,TN,Female,30,$50
Roberta Shaw,VA,Female,51,$359
Roberto Cruz,PA,Male,53,$160
Robin Benjamin,NC,Female,34,$391
Robt Burt,WA,Male,71,$237
Robyn Marquez,AL,Female,70,$339
Robyn Ratliff,GA,Female,46,$200
Rocco Wolfe,FL,Male,45,$319
Rocco Yang,TX,Male,76,$26
Rocky Simmons,NJ,Male,32,$251
Rocky Woodward,FL,Male,44,$125
Rod Evans,MA,Male,29,$651
Rod Patrick,LA,Male,48,$52
Rodger Burks,FL,Male,50,$1335
Rodney Freeman,LA,Male,56,$599
Rodney Leblanc,VA,Male,74,$180
Rodney Rios,OR,Male,47,$229
Rodolfo Kane,FL,Male,53,$349
Rodolfo Moses,AL,Male,42,$255
Rodolfo Zamora,CA,Male,66,$381
Rodrick Holcomb,TX,Male,69,$360
Rodrick Spence,NY,Male,69,$439
Rodrick Underwood,NC,Male,47,$212
Rodrigo Barry,TX,Male,38,$91
Rodrigo Chase,NY,Male,71,$520
Rodrigo McCray,NC,Male,56,$724
Rogelio Bishop,VA,Male,27,$228
Rolf Graves,NC,Male,53,$205
Rolland Rojas,PA,Male,59,$90
Roman Roman,CA,Male,42,$71
Romeo Lindsey,CA,Male,24,$132
Romeo Woodard,NC,Male,25,$660
Ron Dunn,VA,Male,48,$100
Ron Forbes,CA,Male,58,$33
Ron Williams,SC,Male,56,$104
Ronald Hobbs,FL,Male,48,$1044
Ronald Juarez,MA,Male,48,$490
Ronald Middleton,CT,Male,55,$219
Ronald Riley,CA,Male,39,$297
Ronda Malone,TN,Female,32,$599
Ronny Richmond,NY,Male,72,$60
Roosevelt Henson,TX,Male,69,$383
Roosevelt Long,PA,Male,49,$426
Rory Duke,GA,Male,60,$391
Rory Vance,AZ,Male,75,$583
Rosa Roberson,CO,Female,70,$177
Rosalie Pate,FL,Female,66,$253
Rosalind McCarthy,TX,Female,45,$160
Rosalyn Dorsey,CA,Female,52,$357
Rosalyn Oneal,FL,Female,61,$405
Rosalyn Wyatt,NY,Female,66,$583
Rosanna Bauer,NY,Female,70,$779
Rosanna Montoya,NC,Female,29,$120
Rosanne Cleveland,NM,Female,79,$100
Rosanne Rosario,CA,Female,71,$399
Rosanne Sweet,SC,Female,76,$120
Rosario Burks,CA,Female,42,$525
Rosario Dillard,TX,Female,47,$159
Rosario Horton,CO,Female,33,$210
Rosario McFarland,FL,Female,64,$160
Rosario Stanley,AZ,Female,55,$240
Rose Savage,AZ,Female,63,$65
Rose Sears,NC,Female,73,$210
Rose Soto,VA,Female,31,$732
Rose Vazquez,NY,Female,30,$90
Roseann McLeod,FL,Female,51,$70
Roseann Meyers,FL,Female,81,$1302
Rosella Sanchez,CA,Female,70,$90
Rosemarie Shaw,OH,Female,42,$393
Rosemary Chen,MA,Female,24,$480
Rosemary Landry,AL,Female,37,$215
Rosetta Michael,AL,Female,71,$327
Rosetta Moss,FL,Female,53,$399
Rosie King,GA,Female,65,$714
Rosie Rush,TX,Female,72,$540
Ross Sykes,TX,Male,59,$135
Rowena Alford,TX,Female,73,$531
Rowena Cherry,FL,Female,69,$666
Rowena Hensley,TX,Female,76,$1200
Rowena Morrison,FL,Female,55,$180
Roxanne Stewart,FL,Female,61,$266
Roxanne Stout,GA,Female,62,$499
Roxanne Vaughn,NC,Female,45,$543
Ruben Chambers,NJ,Male,28,$439
Ruben McKenzie,VA,Male,50,$245
Rubin Ballard,SC,Male,45,$20
Rubin Fischer,VA,Male,41,$150
Rubin Stanton,NC,Male,71,$198
Ruby Callahan,CO,Female,57,$256
Ruby Dillard,CA,Female,58,$1340
Ruby Prince,SC,Female,27,$613
Ruby Tate,NC,Female,39,$420
Ruby Vinson,GA,Female,40,$40
Ruby Weeks,CA,Female,28,$859
Rudolf Hammond,TX,Male,72,$1100
Rudy Duffy,FL,Male,89,$280
Rupert Fields,TX,Male,49,$197
Russ Delgado,CA,Male,37,$410
Russ Luna,FL,Male,91,$135
Russ Massey,MA,Male,53,$226
Russ McCoy,TX,Male,62,$90
Russell Hays,TX,Male,32,$196
Rusty Dennis,CT,Male,33,$546
Rusty Lynn,FL,Male,91,$639
Rusty Sawyer,WA,Male,67,$220
Ruthie Castillo,LA,Female,38,$344
Ruthie Mathews,FL,Female,68,$389
Ryan Potter,TX,Male,79,$13
Ryan Santos,TX,Male,48,$240
Sadie Dorsey,WA,Female,55,$85
Sadie Finley,FL,Female,80,$234
Sadie Pena,FL,Female,94,$80
Sal Payne,GA,Male,23,$459
Sallie Moreno,AZ,Female,47,$272
Sally Goff,NY,Female,76,$204
Salvatore Cross,OH,Male,61,$60
Salvatore White,LA,Male,29,$197
Sam Moore,NC,Male,44,$824
Sam Perry,GA,Male,41,$91
Sam Roberts,NY,Male,58,$180
Samantha Harding,CT,Female,49,$160
Samantha Hull,UT,Female,48,$20
Samantha Ratliff,VA,Female,33,$375
Sammie Bartlett,TX,Male,27,$247
Sammie Christian,GA,Male,55,$644
Sammy George,MA,Male,59,$180
Sammy Silva,TX,Male,46,$15
Sammy Ward,VA,Male,45,$294
Samual Jefferson,LA,Male,50,$100
Sandra Collins,CA,Female,67,$186
Sandra Sosa,FL,Female,96,$25
Sandy Cleveland,CT,Female,30,$463
Sandy Duke,CA,Female,30,$432
Sandy Marks,AZ,Male,83,$339
Sanford Blackwell,NJ,Male,32,$577
Sanford Daugherty,TX,Male,43,$756
Sanford Holt,GA,Male,60,$325
Santiago Poole,NC,Male,54,$250
Santiago Rose,TX,Male,67,$370
Santo Mack,GA,Male,34,$142
Santo Sawyer,CO,Male,61,$145
Santos Johnston,WA,Male,37,$229
Santos Leblanc,GA,Male,43,$729
Sarah Baird,NY,Female,65,$220
Sarah Christian,NY,Female,55,$88
Sarah Espinoza,GA,Female,58,$225
Sarah Graves,FL,Female,94,$541
Sarah Velasquez,AL,Female,61,$299
Sasha Mayo,WA,Female,54,$650
Saul Jensen,FL,Male,76,$319
Saundra Estes,TX,Female,58,$185
Saundra Sharp,SC,Female,52,$1039
Savannah Fuller,VA,Female,62,$60
Savannah Shaffer,CA,Female,33,$394
Savannah Wolf,NH,Female,35,$20
Scott Bell,CO,Male,23,$674
Scott Bell,OH,Male,46,$180
Scottie Rosales,GA,Male,46,$240
Scotty Hendricks,RI,Male,57,$130
Scotty Hogan,TX,Male,80,$210
Scotty Phelps,TN,Male,61,$395
Sean Barrera,NM,Male,35,$501
Sebastian Gilbert,VA,Male,32,$257
Selena Golden,CO,Female,24,$120
Selena Waller,FL,Female,50,$580
Selma Hebert,WA,Female,46,$280
Selma Newton,TX,Female,76,$714
Serena Benson,CT,Female,53,$260
Serena Dejesus,AL,Female,24,$109
Seth Baird,GA,Male,34,$779
Seth Hayes,FL,Male,48,$509
Seymour Bender,LA,Male,47,$308
Seymour Daniel,TN,Male,32,$140
Seymour Mejia,GA,Male,56,$104
Seymour Reyes,CO,Male,28,$170
Seymour Wynn,TX,Male,32,$145
Shad Williams,SC,Male,21,$50
Shana Harrell,VA,Female,76,$279
Shane Atkinson,SC,Male,65,$195
Shane Guerrero,OR,Male,38,$460
Shannon Adams,CA,Male,31,$300
Shannon Blair,WA,Female,69,$290
Shannon Chavez,LA,Female,25,$520
Shannon Lindsay,NC,Male,30,$219
Shannon McIntyre,FL,Female,92,$299
Shannon Noble,CT,Female,26,$420
Shari Reyes,CT,Female,75,$60
Shari Steele,GA,Female,58,$438
Sharlene Carlson,CA,Female,33,$519
Sharlene Chambers,CO,Female,28,$291
Sharlene May,SC,Female,26,$845
Sharlene Noel,FL,Female,61,$1090
Sharlene Rojas,AL,Female,24,$199
Sharron Giles,WA,Female,61,$854
Sharron Ingram,NY,Female,62,$132
Shauna Byrd,AL,Female,70,$60
Shawn Cortez,LA,Female,56,$369
Shawn Kerr,FL,Male,64,$395
Shayne Barton,OR,Male,58,$117
Shayne Livingston,NM,Male,43,$90
Shayne McCullough,TX,Male,44,$180
Sheena Blackburn,FL,Female,84,$424
Sheila Bass,AZ,Female,53,$271
Sheila Boone,SC,Female,71,$180
Shelby Calhoun,NH,Female,41,$110
Shelby Hayes,CA,Female,51,$290
Shelby Hendricks,FL,Female,92,$5
Sheldon Buckley,NY,Male,23,$423
Sheldon Lopez,NY,Male,47,$170
Shelia William,TX,Female,72,$336
Shelley Chandler,FL,Female,94,$135
Shelley Orr,CA,Female,29,$128
Shelley Spence,PA,Female,47,$200
Shelly Dean,RI,Female,50,$140
Shelly Dillon,TX,Female,60,$205
Shelton Dorsey,CT,Male,54,$250
Sheree Marshall,NC,Female,49,$320
Sherri Madden,TX,Female,38,$120
Sherri Mathews,TX,Female,42,$623
Sherrie Lindsay,NC,Female,54,$182
Sherrie Manning,TX,Female,54,$200
Sherry Clay,TX,Female,82,$328
Sherry Roy,NM,Female,62,$200
Sherwood Dickerson,NC,Male,44,$519
Sherwood Dixon,PA,Male,40,$142
Sherwood Matthews,FL,Male,57,$350
Sheryl Garrison,TX,Female,84,$560
Sheryl Morse,MA,Female,61,$238
Shirley Lloyd,FL,Female,50,$240
Shirley Puckett,FL,Male,84,$237
Shon Quinn,FL,Male,87,$205
Sid Stanton,FL,Male,62,$50
Sid Sutton,NY,Male,32,$521
Sidney Snider,TN,Male,47,$434
Sidney Vincent,PA,Male,27,$180
Silas Gardner,OR,Male,34,$540
Silas Rivers,SC,Male,41,$180
Silvia Bowman,VA,Female,71,$160
Silvia Hutchinson,CO,Female,41,$100
Silvia Justice,CA,Female,28,$78
Silvia Moore,CO,Female,24,$301
Silvia Pugh,TN,Female,35,$116
Simon Park,CA,Male,41,$80
Simone Espinoza,TN,Female,70,$443
Simone Gibbs,VA,Female,41,$100
Socorro Blackwell,FL,Female,54,$13
Socorro McClure,FL,Female,59,$189
Sol Bullock,AZ,Male,70,$219
Sol Stephens,TX,Male,28,$468
Solomon Cervantes,FL,Male,54,$300
Solomon Elliott,CA,Male,39,$330
Son Browning,TX,Male,47,$68
Sonia Bartlett,NC,Female,30,$121
Sonja Gallegos,LA,Female,44,$210
Sonja Wolf,FL,Female,47,$102
Sonny Gallegos,SC,Male,47,$189
Sonny Marshall,CO,Male,74,$200
Sonny Mathis,PA,Male,69,$389
Sonya Johnston,TX,Female,82,$100
Sonya Tyler,WA,Female,24,$180
Sophia Boyd,GA,Female,75,$50
Sophie Fleming,CT,Female,50,$630
Sophie Guthrie,GA,Female,55,$200
Sophie Palmer,TX,Female,80,$210
Spencer Gibson,MA,Male,47,$265
Spencer Wells,FL,Male,60,$100
Stacey Wilson,NC,Female,64,$259
Staci Cohen,CA,Female,44,$234
Staci Cunningham,TN,Female,29,$789
Staci Yates,TX,Female,72,$30
Stanley Nguyen,CT,Male,36,$197
Stanton Chan,NY,Male,51,$424
Stanton Compton,GA,Male,34,$571
Stefan Conley,VA,Male,59,$210
Stefan Daniels,CA,Male,44,$1017
Stefan Dickerson,CO,Male,45,$659
Stefanie Yates,TX,Female,32,$257
Stephan Burns,TX,Male,36,$180
Sterling Bolton,FL,Male,42,$299
Steve Calderon,VA,Male,25,$239
Steve Levine,NY,Male,61,$289
Steven Bender,MA,Male,27,$222
Stewart Figueroa,PA,Male,42,$180
Stewart Poole,FL,Male,63,$481
Sue Buchanan,WA,Female,48,$1250
Sue Cote,CA,Female,52,$503
Summer Dalton,CA,Female,65,$864
Sung Shepherd,CA,Male,66,$160
Susan Hicks,NJ,Female,32,$282
Susan Sexton,UT,Female,69,$1140
Susan Simpson,NY,Female,66,$78
Susanna Compton,TX,Female,58,$412
Susanna Schmidt,CT,Female,36,$304
Susanna Taylor,OH,Female,75,$691
Susanne Armstrong,CA,Female,50,$252
Susanne Huffman,CO,Female,33,$190
Susanne Ingram,VA,Female,32,$321
Susanne Kirk,NY,Female,40,$269
Susanne Moreno,FL,Female,62,$115
Susanne Ortiz,NC,Female,63,$210
Susie Burns,NY,Female,27,$215
Susie Chapman,AL,Female,69,$60
Susie Donovan,FL,Female,74,$112
Susie George,VA,Female,36,$120
Susie Pate,CA,Female,68,$117
Suzanne Carney,FL,Female,50,$20
Suzanne Stanley,OH,Female,71,$90
Suzette Morin,NY,Female,55,$1109
Sybil McCullough,NC,Female,65,$209
Sybil Peters,TX,Female,82,$369
Sydney Porter,VA,Male,55,$355
Sylvester Farley,TX,Male,60,$503
Sylvester Key,NY,Male,67,$210
Sylvester Kirkland,SC,Male,60,$424
Sylvia Franco,GA,Female,31,$329
Tabatha Schroeder,CA,Female,27,$178
Tabatha Stark,UT,Female,39,$502
Tad Knowles,FL,Male,64,$12
Tamara Walsh,SC,Female,64,$17
Tamara Wynn,TX,Female,50,$499
Tameka Gamble,FL,Female,96,$404
Tami Douglas,FL,Female,65,$380
Tami Ferguson,MA,Female,40,$1166
Tamika Maddox,TX,Female,57,$625
Tammi Barrera,FL,Female,96,$190
Tammie Miles,NY,Female,57,$397
Tammie Woods,SC,Female,31,$117
Tammy Rollins,CO,Female,69,$15
Tamra Cross,SC,Female,72,$100
Tamra Pitts,NJ,Female,38,$132
Tania Mitchell,PA,Female,47,$28
Tania Thomas,MA,Female,58,$73
Tanya Brady,CO,Female,43,$270
Tanya Elliott,NJ,Female,24,$100
Tanya Patton,FL,Female,94,$170
Tanya Saunders,AZ,Female,54,$252
Tara Spears,FL,Female,58,$180
Tasha Ball,CA,Female,26,$108
Taylor Dean,TX,Male,53,$679
Taylor Owens,PA,Male,55,$120
Taylor Weiss,SC,Male,28,$329
Ted Cherry,TX,Male,69,$40
Ted Cohen,CO,Male,66,$216
Teddy Holder,CO,Male,27,$196
Teodoro McGuire,VA,Male,46,$15
Teodoro Zamora,NJ,Male,36,$400
Terence Rocha,AZ,Male,61,$78
Teresa Marshall,MA,Female,62,$20
Teri Franklin,FL,Female,90,$319
Teri Moreno,TX,Female,52,$130
Teri Stuart,VA,Female,26,$101
Terra Castaneda,TX,Female,53,$234
Terra Hyde,TX,Female,71,$91
Terrance Warner,TN,Male,40,$91
Terrell Berger,TN,Male,22,$80
Terrence Little,FL,Male,60,$624
Terrence McCray,NY,Male,50,$1089
Terri Morton,AZ,Female,37,$135
Terri Vargas,NM,Female,49,$351
Terrie McKee,CA,Female,50,$137
Terrie Rodgers,NY,Female,76,$385
Terrie Suarez,FL,Female,78,$300
Terry Cooper,UT,Male,69,$165
Terry Griffith,NH,Male,64,$39
